Channel			  :,CH1
Frequency			  :,F=39.45Hz
Period 			  :,T=25.35ms
PK-PK				  :,Vpp=984.0mV
Average			  :,V=7.680mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,8.00mV
Time interval		  :,20.00uS

index,CH1_Voltage(mV)
0,-40.00
1,-40.00
2,-56.00
3,-72.00
4,-88.00
5,-112.00
6,-136.00
7,-144.00
8,-160.00
9,-184.00
10,-192.00
11,-200.00
12,-216.00
13,-216.00
14,-216.00
15,-216.00
16,-200.00
17,-184.00
18,-184.00
19,-160.00
20,-144.00
21,-136.00
22,-104.00
23,-80.00
24,-72.00
25,-56.00
26,-40.00
27,-32.00
28,-24.00
29,-40.00
30,-40.00
31,-40.00
32,-56.00
33,-72.00
34,-88.00
35,-112.00
36,-128.00
37,-144.00
38,-160.00
39,-184.00
40,-184.00
41,-200.00
42,-200.00
43,-192.00
44,-200.00
45,-192.00
46,-184.00
47,-184.00
48,-160.00
49,-144.00
50,-128.00
51,-112.00
52,-96.00
53,-72.00
54,-56.00
55,-40.00
56,-24.00
57,-40.00
58,-24.00
59,-24.00
60,-32.00
61,-40.00
62,-56.00
63,-80.00
64,-96.00
65,-112.00
66,-128.00
67,-144.00
68,-160.00
69,-176.00
70,-184.00
71,-184.00
72,-184.00
73,-192.00
74,-192.00
75,-184.00
76,-176.00
77,-160.00
78,-144.00
79,-128.00
80,-112.00
81,-96.00
82,-80.00
83,-64.00
84,-48.00
85,-32.00
86,-32.00
87,-24.00
88,-24.00
89,-24.00
90,-32.00
91,-56.00
92,-64.00
93,-80.00
94,-104.00
95,-112.00
96,-128.00
97,-144.00
98,-160.00
99,-176.00
100,-184.00
101,-184.00
102,-184.00
103,-184.00
104,-184.00
105,-176.00
106,-160.00
107,-152.00
108,-136.00
109,-120.00
110,-104.00
111,-88.00
112,-64.00
113,-56.00
114,-32.00
115,-32.00
116,-24.00
117,-16.00
118,-24.00
119,-24.00
120,-40.00
121,-56.00
122,-64.00
123,-80.00
124,-104.00
125,-112.00
126,-128.00
127,-144.00
128,-152.00
129,-168.00
130,-176.00
131,-176.00
132,-176.00
133,-176.00
134,-176.00
135,-160.00
136,-152.00
137,-136.00
138,-128.00
139,-104.00
140,-88.00
141,-72.00
142,-56.00
143,-48.00
144,-24.00
145,-24.00
146,-16.00
147,-16.00
148,-24.00
149,-40.00
150,-32.00
151,-56.00
152,-64.00
153,-88.00
154,-104.00
155,-112.00
156,-128.00
157,-144.00
158,-152.00
159,-160.00
160,-176.00
161,-176.00
162,-176.00
163,488.00
164,472.00
165,456.00
166,408.00
167,360.00
168,328.00
169,280.00
170,240.00
171,200.00
172,168.00
173,136.00
174,104.00
175,96.00
176,96.00
177,96.00
178,112.00
179,128.00
180,160.00
181,192.00
182,232.00
183,272.00
184,312.00
185,352.00
186,392.00
187,432.00
188,456.00
189,456.00
190,480.00
191,480.00
192,472.00
193,464.00
194,448.00
195,416.00
196,368.00
197,336.00
198,288.00
199,256.00
200,216.00
201,176.00
202,144.00
203,120.00
204,96.00
205,96.00
206,88.00
207,96.00
208,112.00
209,128.00
210,168.00
211,200.00
212,240.00
213,280.00
214,320.00
215,360.00
216,392.00
217,416.00
218,424.00
219,456.00
220,464.00
221,456.00
222,456.00
223,440.00
224,408.00
225,368.00
226,344.00
227,304.00
228,272.00
229,224.00
230,192.00
231,152.00
232,120.00
233,104.00
234,96.00
235,88.00
236,88.00
237,104.00
238,104.00
239,144.00
240,168.00
241,208.00
242,240.00
243,280.00
244,320.00
245,352.00
246,392.00
247,400.00
248,432.00
249,432.00
250,440.00
251,440.00
252,424.00
253,408.00
254,376.00
255,344.00
256,312.00
257,272.00
258,240.00
259,200.00
260,168.00
261,136.00
262,104.00
263,96.00
264,88.00
265,88.00
266,88.00
267,96.00
268,120.00
269,152.00
270,176.00
271,216.00
272,248.00
273,288.00
274,312.00
275,352.00
276,384.00
277,400.00
278,416.00
279,416.00
280,416.00
281,416.00
282,392.00
